date;uid;suspects;refuses;cases;deaths;broadcast;comments
30/01/2020;31;1,0;;;;;
30/01/2020;33;1,0;;;;;
30/01/2020;42;;2,0;;;;
30/01/2020;35;3,0;1,0;;;;
30/01/2020;43;2,0;2,0;;;;
30/01/2020;41;1,0;1,0;;;;
30/01/2020;23;1,0;;;;;
31/01/2020;23;1,0;;;;;
31/01/2020;31;1,0;;;;;
31/01/2020;33;;1,0;;;;
31/01/2020;35;7,0;2,0;;;;
31/01/2020;41;1,0;1,0;;;;
31/01/2020;42;1,0;2,0;;;;
31/01/2020;43;2,0;3,0;;;;
01/02/2020;23;1,0;;;;;
01/02/2020;31;;1,0;;;;
01/02/2020;33;;1,0;;;;
01/02/2020;35;8,0;2,0;;;;
01/02/2020;41;1,0;1,0;;;;
01/02/2020;42;2,0;2,0;;;;
01/02/2020;43;4,0;3,0;;;;
02/02/2020;23;1,0;;;;;
02/02/2020;31;;1,0;;;;
02/02/2020;33;;1,0;;;;
02/02/2020;35;8,0;2,0;;;;
02/02/2020;41;1,0;1,0;;;;
02/02/2020;42;2,0;2,0;;;;
02/02/2020;43;4,0;3,0;;;;
03/02/2020;23;;1,0;;;;
03/02/2020;31;;1,0;;;;
03/02/2020;33;1,0;1,0;;;;
03/02/2020;35;7,0;3,0;;;;
03/02/2020;41;;2,0;;;;
03/02/2020;42;2,0;2,0;;;;
03/02/2020;43;4,0;3,0;;;;
04/02/2020;23;;1,0;;;;
04/02/2020;31;;1,0;;;;
04/02/2020;33;1,0;2,0;;;;
04/02/2020;35;6,0;5,0;;;;
04/02/2020;41;;2,0;;;;
04/02/2020;42;2,0;2,0;;;;
04/02/2020;43;4,0;3,0;;;;
05/02/2020;23;;1,0;;;;
05/02/2020;31;;1,0;;;;
05/02/2020;33;1,0;2,0;;;;
05/02/2020;35;4,0;9,0;;;;
05/02/2020;41;0,0;2,0;;;;
05/02/2020;42;1,0;3,0;;;;
05/02/2020;43;5,0;3,0;;;;
06/02/2020;23;;1,0;;;;
06/02/2020;31;1,0;1,0;;;;
06/02/2020;33;1,0;2,0;;;;
06/02/2020;35;3,0;10,0;;;;
06/02/2020;41;;2,0;;;;
06/02/2020;42;1,0;3,0;;;;
06/02/2020;43;3,0;5,0;;;;
07/02/2020;23;;1,0;;;;
07/02/2020;31;1,0;1,0;;;;
07/02/2020;33;1,0;2,0;;;;
07/02/2020;35;3,0;11,0;;;;
07/02/2020;41;;2,0;;;;
07/02/2020;42;1,0;3,0;;;;
07/02/2020;43;2,0;6,0;;;;
08/02/2020;23;;1,0;;;;
08/02/2020;31;1,0;1,0;;;;
08/02/2020;33;1,0;2,0;;;;
08/02/2020;35;2,0;13,0;;;;
08/02/2020;41;;2,0;;;;
08/02/2020;42;1,0;3,0;;;;
08/02/2020;43;3,0;6,0;;;;
09/02/2020;23;;1,0;;;;
09/02/2020;31;1,0;1,0;;;;
09/02/2020;33;2,0;2,0;;;;
09/02/2020;35;3,0;13,0;;;;
09/02/2020;41;1,0;2,0;;;;
09/02/2020;42;1,0;3,0;;;;
09/02/2020;43;3,0;6,0;;;;
10/02/2020;23;;1,0;;;;
10/02/2020;31;1,0;1,0;;;;
10/02/2020;33;1,0;3,0;;;;
10/02/2020;35;3,0;13,0;;;;
10/02/2020;41;1,0;2,0;;;;
10/02/2020;42;;4,0;;;;
10/02/2020;43;1,0;8,0;;;;
11/02/2020;23;;1,0;;;;
11/02/2020;31;1,0;1,0;;;;
11/02/2020;33;2,0;3,0;;;;
11/02/2020;35;3,0;14,0;;;;
11/02/2020;41;1,0;2,0;;;;
11/02/2020;42;;4,0;;;;
11/02/2020;43;1,0;8,0;;;;
12/02/2020;23;;1,0;;;;
12/02/2020;31;1,0;1,0;;;;
12/02/2020;33;2,0;3,0;;;;
12/02/2020;35;6,0;14,0;;;;
12/02/2020;41;1,0;2,0;;;;
12/02/2020;42;;4,0;;;;
12/02/2020;43;1,0;8,0;;;;
13/02/2020;23;;1,0;;;;
13/02/2020;31;;2,0;;;;
13/02/2020;33;;5,0;;;;
13/02/2020;35;3,0;17,0;;;;
13/02/2020;41;1,0;2,0;;;;
13/02/2020;42;;4,0;;;;
13/02/2020;43;2,0;8,0;;;;
13/02/2020;53;;1,0;;;;
14/02/2020;23;;1,0;;;;
14/02/2020;31;;2,0;;;;
14/02/2020;33;;5,0;;;;
14/02/2020;35;1,0;20,0;;;;
14/02/2020;41;1,0;2,0;;;;
14/02/2020;42;;4,0;;;;
14/02/2020;43;2,0;8,0;;;;
14/02/2020;53;;1,0;;;;
15/02/2020;23;;1,0;;;;
15/02/2020;31;;2,0;;;;
15/02/2020;33;;5,0;;;;
15/02/2020;35;2,0;20,0;;;;
15/02/2020;41;;3,0;;;;
15/02/2020;42;;4,0;;;;
15/02/2020;43;1,0;9,0;;;;
15/02/2020;53;;1,0;;;;
16/02/2020;23;;1,0;;;;
16/02/2020;31;;2,0;;;;
16/02/2020;33;;5,0;;;;
16/02/2020;35;2,0;20,0;;;;
16/02/2020;41;;3,0;;;;
16/02/2020;42;;4,0;;;;
16/02/2020;43;1,0;9,0;;;;
16/02/2020;53;;1,0;;;;
17/02/2020;23;;1,0;;;;
17/02/2020;31;;2,0;;;;
17/02/2020;33;;5,0;;;;
17/02/2020;35;2,0;20,0;;;;
17/02/2020;41;;3,0;;;;
17/02/2020;42;;4,0;;;;
17/02/2020;43;1,0;9,0;;;;
17/02/2020;53;;1,0;;;;
18/02/2020;23;;1,0;;;;
18/02/2020;31;;2,0;;;;
18/02/2020;33;;5,0;;;;
18/02/2020;35;4,0;20,0;;;;
18/02/2020;41;;3,0;;;;
18/02/2020;42;;4,0;;;;
18/02/2020;43;1,0;9,0;;;;
18/02/2020;53;0,0;1,0;;;;
19/02/2020;23;;1,0;;;;
