titulo;link;id
 Solidarity: How the coronavirus makes us more willing to help - 10:09 AM EDT;https://www.dw.com/en/solidarity-how-the-coronavirus-makes-us-more-willing-to-help/a-52968633?maca=en-rss-en-all-1573-rdf;dw-com-en-solidarity-how-the-coronavirus-makes-us-more-willing-to-hel
 Coronavirus and Islam: Pakistani clerics refuse to shut down mosques - 10:09 AM EDT;https://www.dw.com/en/coronavirus-and-islam-pakistani-clerics-refuse-to-shut-down-mosques/a-52969639?maca=en-rss-en-all-1573-rdf;dw-com-en-coronavirus-and-islam-pakistani-clerics-refuse-to-shut-down
" STAT Plus: Pharmalittle: A TB vaccine is tested against the coronavirus; FDA doesn’t punish Novartis over data integrity scandal - 10:09 AM EDT";https://www.statnews.com/pharmalot/2020/03/31/coronavirus-covid19-vaccine-tb-novartis/?utm_campaign=rss;statnews-com-pharmalot-2020-03-31-coronavirus-covid19-vaccine-tb-nova
 Substack offers $100K in grants for independent writers - 10:09 AM EDT;https://techcrunch.com/2020/03/31/substack-grants/;techcrunch-com-2020-03-31-substack-grants-
 Coronavirus UK death toll rises to 1,808 after 393 die in record daily surge - 10:08 AM EDT;https://www.independent.co.uk/news/uk/home-news/coronavirus-uk-deaths-england-uk-cases-update-today-a9438366.html;independent-co-uk-news-uk-home-news-coronavirus-uk-deaths-england-uk-
 Coronavirus: Man accused of killing wife of 44 years in UK's 'first self-isolation murder' - 10:08 AM EDT;https://www.independent.co.uk/news/uk/home-news/coronavirus-murder-uk-anthony-williams-wife-ruth-wales-self-isolation-a9438216.html;independent-co-uk-news-uk-home-news-coronavirus-murder-uk-anthony-wil
 What the coronavirus lockdown looks like from space - 10:07 AM EDT;https://www.aljazeera.com/news/2020/03/200331102825569.html;aljazeera-com-news-2020-03-200331102825569-html
 As COVID-19 hits the arts, entertainers fight back - 10:07 AM EDT;https://www.aljazeera.com/news/2020/03/covid-19-hits-arts-entertainers-fight-200331132334867.html;aljazeera-com-news-2020-03-covid-19-hits-arts-entertainers-fight-2003
 Partisanship is the strongest predictor of coronavirus response - 10:06 AM EDT;https://www.vox.com/science-and-health/2020/3/31/21199271/coronavirus-in-us-trump-republicans-democrats-survey-epistemic-crisis;vox-com-science-and-health-2020-3-31-21199271-coronavirus-in-us-trump
" Pelosi looks ahead to ""phase 4"" coronavirus relief package - 10:05 AM EDT";https://www.cbsnews.com/news/coronavirus-nancy-pelosi-phase-4-relief-package/;cbsnews-com-news-coronavirus-nancy-pelosi-phase-4-relief-package-
 Dr. Siegel: Why wearing gloves at grocery store is not necessarily a good idea - 10:05 AM EDT;https://www.foxnews.com/media/siegel-wearing-gloves-grocery-store-coronavirus;foxnews-com-media-siegel-wearing-gloves-grocery-store-coronavirus
 Utah's Largest Medical Provider Announces Pay Cuts for Doctors and Nurses Amid Coronavirus Pandemic - 10:05 AM EDT;https://www.newsweek.com/utah-medical-provider-pay-cuts-coronavirus-pandemic-1495247?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution;newsweek-com-utah-medical-provider-pay-cuts-coronavirus-pandemic-1495
 Ars Pro week, day 2: If you subscribe we’ll pour more ketchup on Lee Hutchinson - 10:05 AM EDT;https://arstechnica.com/?p=1664294;arstechnica-com-p-1664294
 FEMA sending 250 ambulances, 500 EMTs to aid NYC with coronavirus crisis - 10:04 AM EDT;https://nypost.com/2020/03/31/fema-sending-250-ambulances-500-emts-to-aid-nyc-with-coronavirus-crisis/;nypost-com-2020-03-31-fema-sending-250-ambulances-500-emts-to-aid-nyc
 Stocks slide as Wall Street braces for worst quarter in decades - 10:04 AM EDT;https://nypost.com/2020/03/31/stocks-slide-as-wall-street-braces-for-worst-quarter-in-decades/;nypost-com-2020-03-31-stocks-slide-as-wall-street-braces-for-worst-qu
 Politicians ban reusable grocery bags for spreading coronavirus — what’s the science say? - 10:03 AM EDT;http://www.marketwatch.com/news/story.asp?guid=%7BE8F8A7F8-6F5E-11EA-82CE-84B502831015%7D&siteid=rss&rss=1;http-marketwatch-com-news-story-asp-guid-7BE8F8A7F8-6F5E-11EA-82CE-84
 U.S. Army Corps to build hundreds of temporary hospitals for coronavirus crisis - 10:03 AM EDT;https://www.reuters.com/article/us-health-coronavirus-usa/u-s-army-corps-to-build-hundreds-of-temporary-hospitals-for-coronavirus-crisis-idUSKBN21I20E?feedType=RSS&feedName=topNews;reuters-com-article-us-health-coronavirus-usa-u-s-army-corps-to-build
 Coronavirus economic updates: Markets slip slightly - 09:56 AM EDT;https://abcnews.go.com/Business/coronavirus-economic-updates-markets-slip-slightly/story?id=69893563;abcnews-go-com-Business-coronavirus-economic-updates-markets-slip-sli
 Rapper Dave castigates Tories over NHS and coronavirus: 'They prioritised other things' - 09:55 AM EDT;https://www.theguardian.com/music/2020/mar/31/dave-castigates-tories-over-nhs-and-coronavirus;theguardian-com-music-2020-mar-31-dave-castigates-tories-over-nhs-and
 #GoalsAtHome: Can you recreate this Dele volley at home - 09:55 AM EDT;https://www.bbc.co.uk/sport/av/football/52105777;bbc-co-uk-sport-av-football-52105777
 Sony postpones 'Ghostbusters: Afterlife,' 'Morbius' and more summer releases due to coronavirus concerns - 09:55 AM EDT;https://www.foxnews.com/entertainment/sony-postpones-ghostbustesr-afterlife-morbius-coronavirus-concerns;foxnews-com-entertainment-sony-postpones-ghostbustesr-afterlife-morbi
 Ariana Grande’s ‘Victorious’ Zoom Reunion Is What Nostalgic Dreams Are Made of - 09:54 AM EDT;https://time.com/5812820/victorious-ariana-grande-reunion/;time-com-5812820-victorious-ariana-grande-reunion-
 NYC Mayor Bill de Blasio predicts coronavirus pandemic will stretch into May - 09:54 AM EDT;https://www.dailymail.co.uk/news/article-8171713/NYC-Mayor-Bill-Blasio-predicts-coronavirus-pandemic-stretch-May.html?ns_mchannel=rss&ito=1490&ns_campaign=1490;dailymail-co-uk-news-article-8171713-NYC-Mayor-Bill-Blasio-predicts-c
 Coronavirus UK hotspots revealed: Sheffield and Slough come out top behind London and Birmingham  - 09:54 AM EDT;https://www.dailymail.co.uk/news/article-8171287/Coronavirus-UK-hotspots-revealed-Sheffield-Slough-come-London-Birmingham.html?ns_mchannel=rss&ito=1490&ns_campaign=1490;dailymail-co-uk-news-article-8171287-Coronavirus-UK-hotspots-revealed
 Walmart workers must have temperature checked every time they go to work, company says - 09:54 AM EDT;https://www.miamiherald.com/news/coronavirus/article241643161.html#storylink=rss;miamiherald-com-news-coronavirus-article241643161-html-storylink-rss
 COVID-Era Abortion Bans Blocked in Three States—For Now - 09:54 AM EDT;https://reason.com/2020/03/31/covid-era-abortion-bans-blocked-in-three-states-for-now/;reason-com-2020-03-31-covid-era-abortion-bans-blocked-in-three-states
